<Header>,,,,,,,,,,,,,,,,
RFQ Number :,RFQ00001,,,,,,,,,,,,,,,
RFQ Description :,2012 Topps Valor Football,,,,,,,,,,,,,,,
Lifecycle Phase :,Open,,,,,,,,,,,,,,,
Due Date :,9/10/12,,,,,,,,,,,,,,,
Ship-To Location :,New York,,,,,,,,,,,,,,,
Supplier Instructions :,"Deliver by 1/11/13.  Please provide quote based on RFQ, specifications and BOM Report.",,,,,,,,,,,,,,,
Owner :,,,,,,,,,,,,,,,,
Contact :,Lisa Ligi,,,,,,,,,,,,,,,
Contact E-mail :,lligi@topps.com,,,,,,,,,,,,,,,
Contact Phone :,,,,,,,,,,,,,,,,
Supplier :,GLOBE LINKAGE LIMITED (COMMR00004),,,,,,,,,,,,,,,
Response Currency :,USD,,,,,,,,,,,,,,,
Create Date :,09/06/2012 11:03:31 AM EDT,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Use these values to complete your RFQ response :,,,,,,,,,,,,,,,,
Bid Decision : ,"Bid,Bid - Alternate Part,No Bid - Non-Franchise,No Bid - Obsolete Part,No Bid - On Allocation,No Bid - Other,No Bid - Unknown Part,Not Responded",,,,,,,,,,,,,,,
</Header>,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Mfr Part Number,Manufacturer,Item Description,Number,Rev,Commodity,UOM,Extended Description,Response Line Status,Capitalized Expenses/Tooling (Per Project) *,Make-Ready/Setup Fee (Per Order) *,Bid Decision *,Inventory Available *,Valid Until *,QuantityBreak1 _ Target Cost,QuantityBreak1 _ Quantity,QuantityBreak1 _ Material Price *
,,12TVFB TIN (FGE000082),PKG000193,A0,SE PKG-OTHER,,,Pending,1700,0,Bid,0,1/11/13,,11250,1.05
