"ERROR_TYPE","ERROR_DESCRIPTION","ATTRIBUTE","ATTRIBUTE_VALUE","TABLE_NAME","KEY1","KEY2","KEY3","CLASS","SUBCLASS"
"Error","Invalid cascading list:""Error occurs at level: 1 in Canada""","GEOGRAPHY","Canada","SOURCE_MANUFACTURER","WEB GEAR SERVICES LTD. - TOOLING","","","manufacturers","Tooling Vendor Manufacturer"
"Error","Invalid cascading list:""Error occurs at level: 1 in North America""","GEOGRAPHY","North America","SOURCE_MANUFACTURER","AMERICAN TOOL & ENGINEERING INC. - TOOLING","","","manufacturers","Tooling Vendor Manufacturer"
"Error","Invalid cascading list:""Error occurs at level: 1 in North America""","GEOGRAPHY","North America","SOURCE_MANUFACTURER","CHARLES TURNER - TOOLING","","","manufacturers","Tooling Vendor Manufacturer"
"Error","Invalid cascading list:""Error occurs at level: 1 in North America""","GEOGRAPHY","North America","SOURCE_MANUFACTURER","THE QUALITY CASTINGS CO. - TOOLING","","","manufacturers","Tooling Vendor Manufacturer"
"Error","Exceeds maximum length 150","ADDRESS","1301, WORLD FINANCE CTR(SOUTH) HARBOUR CITY   TSIMSHATSUI   Hong Kong; 11/F, SOUTH TOWER WORLD FINANCE CENTRE HARBOUR CITY, TST KOWLOON, Hong Kong   Hong Kong","SOURCE_MANUFACTURER","PRECISION MOULDS LTD - TOOLING","","","manufacturers","Tooling Vendor Manufacturer"
"Error","Exceeds maximum length 20","DUNS_NUMBER","TIC-HK HKD; TIC-HK USD; MIC9480-HK","SOURCE_MANUFACTURER","PRECISION MOULDS LTD - TOOLING","","","manufacturers","Tooling Vendor Manufacturer"
"Error","Invalid cascading list:""Error occurs at level: 1 in North America""","GEOGRAPHY","North America","SOURCE_MANUFACTURER","INCOE CORPORATION - TOOLING","","","manufacturers","Tooling Vendor Manufacturer"
"Error","Invalid cascading list:""Error occurs at level: 1 in Canada""","GEOGRAPHY","Canada","SOURCE_MANUFACTURER","INTEGRITY TOOL & MOLD INC. - TOOLING","","","manufacturers","Tooling Vendor Manufacturer"
"Error","Invalid cascading list:""Error occurs at level: 1 in Canada""","GEOGRAPHY","Canada","SOURCE_MANUFACTURER","KLG MOLDS INC. - TOOLING","","","manufacturers","Tooling Vendor Manufacturer"
"Error","Exceeds maximum length 150","ADDRESS","UNIT 1, 12/F., CHARMAY CENTRE, 12 KA HING ROAD, KWAI CHUNG,  N.T.   Hong Kong UNIT 615, 6/F., KWONG SANG HONG CENTRE, 151-153 HOI BUN RD, KWUN TONG   KOWLOON   Hong Kong","SOURCE_MANUFACTURER","MASTER HERO MANUFACTURING COMPANY LIMITED - TOOLING","","","manufacturers","Tooling Vendor Manufacturer"
"Error","Exceeds maximum length 20","DUNS_NUMBER","TIC-INDONESIA IC9417-ID","SOURCE_MANUFACTURER","MATTEL TOOLS INDONESIA - TOOLING","","","manufacturers","Tooling Vendor Manufacturer"
"Error","Invalid cascading list:""Error occurs at level: 3 in Asia|Malaysia|Penang""","GEOGRAPHY","Asia|Malaysia|Penang","SOURCE_MANUFACTURER","MATTEL DEVELOPMENT & TOOLING SDN BHD - TOOLING","","","manufacturers","Tooling Vendor Manufacturer"
"Error","Invalid cascading list:""Error occurs at level: 1 in Canada""","GEOGRAPHY","Canada","SOURCE_MANUFACTURER","REKO TOOL & MOULD INC. - TOOLING","","","manufacturers","Tooling Vendor Manufacturer"
"Error","Exceeds maximum length 150","ADDRESS","6/FL., VALIANT INDUSTRIAL CENTRE, 2-12 AU PUI WAN STREET, FO TAN, SHATIN, N.T.     Hong Kong Unit J - N, 6/F., Valiant Industrial Centre, 2 - 12 Au Pui Wan Street FO TAN,  N.T.   Hong Kong","SOURCE_MANUFACTURER","THE MERTON COMPANY LIMITED - TOOLING","","","manufacturers","Tooling Vendor Manufacturer"
"Error","Invalid cascading list:""Error occurs at level: 1 in North America""","GEOGRAPHY","North America","SOURCE_MANUFACTURER","UNIVERSAL TOOLING CORP. - TOOLING","","","manufacturers","Tooling Vendor Manufacturer"
"Error","Invalid cascading list:""Error occurs at level: 1 in Canada""","GEOGRAPHY","Canada","SOURCE_MANUFACTURER","VALIANT TOOL & MOLD INC. - TOOLING","","","manufacturers","Tooling Vendor Manufacturer"
