"SUBCLASS","ATTRIBUTE","ERROR_DESCRIPTION"
"Fabric-Woven","P3_MULTILIST33","Invalid Multilist values.Please note that:all Multilist values should  be seperated by semicolon only.(Invalid values are:Polyester;)"
"Hair - Kanekalon","P3_LIST34","Invalid list value(s) Orange 220"
"Hair - Kanekalon","P3_LIST34","Invalid list value(s) Dk. Brown 440"
"Hair - Nylon","P3_LIST32","Invalid list value(s) Yellow N-186"
"Hair - Nylon","P3_LIST32","Invalid list value(s) Dark Purple N-265"
"Hair - Nylon","P3_LIST32","Invalid list value(s) Golden Blond N-185A"
"Hair - Nylon","P3_LIST32","Invalid list value(s) Blond N-235"
"Hair - PP","P3_LIST45","Invalid list value(s) Yellow 4846G"
"Hair - Shimmer Shine","P3_LIST34","Invalid list value(s) Holographic Silver KU-5565"
"Hair - Color Change","P3_LIST33","Invalid list value(s) Golden Blond 2 CC-188-2"
"Hair - Color Change","P3_LIST33","Invalid list value(s) Pink to Purple CT-42"
"Hair - Hollow Saran","P3_LIST34","Invalid list value(s) Aqua (green) 1319"
"Hair - Hollow Saran","P3_LIST34","Invalid list value(s) Med. Lavender 1946"
"Hair - Hollow Saran","P3_LIST34","Invalid list value(s) Auburn 362"
"Hair - Hollow Saran","P3_LIST34","Invalid list value(s) Hot Pink 2476"
"Hair - Hollow Saran","P3_LIST34","Invalid list value(s) Ariel Red 3 107"
"Hair - Hollow Saran","P3_LIST34","Invalid list value(s) Copper Red 374"
"Hair - Hollow Saran","P3_LIST34","Invalid list value(s) Creme 828"
"Hair - Kanekalon","P3_LIST34","Invalid list value(s) Yellow 210"
"Packaging Component - Common","DESCRIPTION","Exceeds maximum length 120"
"Label - Product","ITEM_NUMBER","Duplicate item number"
"Packaging Component - Printed","ITEM_NUMBER","Duplicate item number"
"Electronics Specification Document","P2_TEXT12","Attribute undefined or invisible for this class or subclass"
"Accessory - Thread/Yarn","P3_MULTILIST31","Invalid Multilist values.Please note that:all Multilist values should  be seperated by semicolon only.(Invalid values are:Biege;)"
"Chemical - General Chemical","P3_MULTILIST32","Invalid Multilist values.Please note that:all Multilist values should  be seperated by semicolon only.(Invalid values are:Plastic Injection Molding;)"
"Fabric-Knit","P3_MULTILIST31","Invalid Multilist values.Please note that:all Multilist values should  be seperated by semicolon only.(Invalid values are:Polyester;)"
"Fabric-Woven","P3_MULTILIST33","Invalid Multilist values.Please note that:all Multilist values should  be seperated by semicolon only.(Invalid values are:Polyester Cotton T/C;)"
"Fabric-Woven","P3_MULTILIST33","Invalid Multilist values.Please note that:all Multilist values should  be seperated by semicolon only.(Invalid values are:Polyester;Polyester Cotton T/C;)"
"General Electronics Component - Coil","P3_LIST33","Invalid list value(s) KHz"
"Hair - Kanekalon","P3_LIST34","Invalid list value(s) Med blue 243"
"Hair - Kanekalon","P3_LIST34","Invalid list value(s) Lt. Red 145"
"Hair - Kanekalon","P3_LIST34","Invalid list value(s) Blond 516"
"Hair - Kanekalon","P3_LIST34","Invalid list value(s) Golden Blond 736"
"Hair - Kanekalon","P3_LIST34","Invalid list value(s) Black 9601"
"Hair - Kanekalon","P3_LIST34","Invalid list value(s) Reddish Blond 472"
"Hair - Kanekalon","P3_LIST34","Invalid list value(s) Pink 230"
"Hair - Kanekalon","P3_LIST34","Invalid list value(s) Pink 130"
"Hair - Kanekalon","P3_LIST34","Invalid list value(s) Blue 140"
"Hair - Nylon","P3_LIST32","Invalid list value(s) Orange N-189"
"Hair - Nylon","P3_LIST32","Invalid list value(s) Med Pink N188"
"Hair - PP","P3_LIST45","Invalid list value(s) Light Brown M-3314"
"Hair - PP","P3_LIST45","Invalid list value(s) Light Blue P2063"
"Hair - Shimmer Shine","P3_LIST34","Invalid list value(s) Brown ST-243"
"Hair - Shimmer Shine","P3_LIST34","Invalid list value(s) Black SX-604"
"Hair - Color Change","P3_LIST33","Invalid list value(s) Blue to Green CN-84"
"Hair - Color Change","P3_LIST33","Invalid list value(s) Blonde to purple CN-51-B"
"Hair - Color Change","P3_LIST33","Invalid list value(s) Pink to Purple CT-17"
"Hair - Hollow Saran","P3_LIST34","Invalid list value(s) Lime Green 968"
"Hair - Hollow Saran","P3_LIST34","Invalid list value(s) Royal Blue 1753"
"Hair - Hollow Saran","P3_LIST34","Invalid list value(s) Lt. Blond 519"
"Hair - Hollow Saran","P3_LIST34","Invalid list value(s) Orange 388"
"Hair - Hollow Saran","P3_LIST34","Invalid list value(s) Lavendar 2137"
"Hair - Hollow Saran","P3_LIST34","Invalid list value(s) Lt. Brown 522"
"Hair - Hollow Saran","P3_LIST34","Invalid list value(s) Platinum White 6024"
"Hair - Hollow Saran","P3_LIST34","Invalid list value(s) Golden Blond 736"
"Hair - Kanekalon","P3_LIST34","Invalid list value(s) Purple 151"
"Label - Product","P3_LIST55","Invalid list value(s) FT"
"Paint & Ink","P3_MULTILIST33","Invalid Multilist values.Please note that:all Multilist values should  be seperated by semicolon only.(Invalid values are:glossy;)"
"Product - Non Development","P3_LIST38","Invalid list value(s) RADEMACHER"
"Product - Non Development","P3_LIST38","Invalid list value(s) P. FEITELL"
"General Electronics Component - Inductor","P3_LIST32","Invalid list value(s) Ohm"
"Hair - Kanekalon","P3_LIST34","Invalid list value(s) Lt. Blond 510"
"Hair - Kanekalon","P3_LIST34","Invalid list value(s) Bright Pink 131"
"Hair - Kanekalon","P3_LIST34","Invalid list value(s) Purple 250"
"Hair - Nylon","P3_LIST32","Invalid list value(s) Violet N-675"
"Hair - Nylon","P3_LIST32","Invalid list value(s) Chestnut N-195"
"Hair - PP","P3_LIST45","Invalid list value(s) White P7890"
"Hair - PP","P3_LIST45","Invalid list value(s) Blond 1M-7615"
"Hair - PP","P3_LIST45","Invalid list value(s) Dark Brown M-3302G"
"Hair - PP","P3_LIST45","Invalid list value(s) Brown 470C"
"Hair - Shimmer Shine","P3_LIST34","Invalid list value(s) Raspberry SH-343"
"Hair - Color Change","P3_LIST33","Invalid list value(s) Blue to Purple CN-101"
"Hair - Color Change","P3_LIST33","Invalid list value(s) Purple to Turquoise CT-19"
"Hair - Color Change","P3_LIST33","Invalid list value(s) Blonde to pink CN-50-B"
"Hair - Hollow Saran","P3_LIST34","Invalid list value(s) Carrot Red 484"
"Hair - Hollow Saran","P3_LIST34","Invalid list value(s) Ash Blond 538"
"Hair - Hollow Saran","P3_LIST34","Invalid list value(s) Yellow Gold 658"
